source,target,value
Germany,Russia,12
Poland,Russia,6
Japan,Russia,6
France,Russia,5
Germany,Poland,5
France,Germany,5
Japan,United States,4
Germany,Italy,4
India,Pakistan,3
Germany,Japan,3
Egypt,United Kingdom,2
Egypt,Libya,2
Finland,Russia,2
Finland,Poland,2
Italy,United Kingdom,2
Estonia,Lithuania,2
France,India,2
Finland,Lithuania,2
France,Pakistan,2
France,Poland,2
Estonia,Poland,2
France,United Kingdom,2
Estonia,Finland,2
Estonia,Russia,2
Libya,United Kingdom,2
Lithuania,Poland,2
Lithuania,Russia,2
Germany,United States,2
Russia,United States,2
Germany,United Kingdom,2
Romania,Russia,2
India,Israel,1
Hungary,Poland,1
Iran,South Africa,1
Hungary,Romania,1
Hungary,Russia,1
India,Iran,1
Iran,Russia,1
India,Japan,1
Iraq,Russia,1
India,Kenya,1
Iran,Pakistan,1
Iran,Libya,1
India,Laos,1
Iran,Israel,1
India,United States,1
India,United Kingdom,1
India,South Africa,1
India,Libya,1
India,Russia,1
Afghanistan,Pakistan,1
Israel,Libya,1
Israel,Pakistan,1
Libya,Russia,1
Libya,South Africa,1
Lithuania,Norway,1
Luxembourg,Netherlands,1
Mongolia,Russia,1
Norway,Poland,1
Norway,Russia,1
Pakistan,Russia,1
Pakistan,South Africa,1
Pakistan,United Kingdom,1
Poland,Romania,1
Russia,South Africa,1
Russia,Ukraine,1
Singapore,Thailand,1
Singapore,United States,1
Libya,Pakistan,1
Latvia,Russia,1
Latvia,Poland,1
Japan,Thailand,1
Israel,Russia,1
Israel,South Africa,1
Ghana,Pakistan,1
Italy,Japan,1
Italy,Libya,1
Japan,Singapore,1
Japan,United Kingdom,1
Latvia,Norway,1
Kenya,Laos,1
Kenya,Pakistan,1
Kenya,United Kingdom,1
Laos,Pakistan,1
Laos,United Kingdom,1
Latvia,Lithuania,1
Ghana,United Kingdom,1
Germany,Norway,1
Ghana,Laos,1
Bulgaria,Poland,1
Cuba,Russia,1
Cuba,Mongolia,1
Canada,United States,1
Canada,Russia,1
Canada,Japan,1
Cambodia,United Kingdom,1
Cambodia,Pakistan,1
Cambodia,Laos,1
Cambodia,Kenya,1
Cambodia,India,1
Cambodia,Ghana,1
Cambodia,France,1
Bulgaria,Russia,1
Bulgaria,Romania,1
Bulgaria,Hungary,1
Ghana,Kenya,1
Belgium,Netherlands,1
Belgium,Luxembourg,1
Belgium,Germany,1
Austria,Germany,1
Australia,United States,1
Australia,Russia,1
Australia,Japan,1
Australia,Canada,1
Algeria,Morocco,1
Albania,Russia,1
Albania,Romania,1
Albania,Poland,1
Albania,Hungary,1
Albania,Germany,1
Denmark,Estonia,1
Denmark,Finland,1
Denmark,Germany,1
Denmark,Latvia,1
Ghana,India,1
Germany,Ukraine,1
Germany,Thailand,1
Germany,Singapore,1
Albania,Bulgaria,1
Germany,Netherlands,1
Germany,Luxembourg,1
Germany,Lithuania,1
Germany,Latvia,1
France,Vietnam,1
France,South Africa,1
France,Libya,1
France,Laos,1
France,Kenya,1
France,Italy,1
France,Israel,1
France,Iran,1
France,Ghana,1
Finland,Norway,1
Finland,Latvia,1
Finland,Germany,1
Estonia,Norway,1
Estonia,Latvia,1
Estonia,Germany,1
Egypt,Italy,1
Denmark,Russia,1
Denmark,Poland,1
Denmark,Norway,1
Denmark,Lithuania,1
Thailand,United States,1
